id,question,answer,generated_answer
150,Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Yes it had,No.
151,Was Celsius born in Uppsala in Sweden ?,Yes,No.
153,Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Yes he did,Agree.
154,What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University,Nothing.
155,What happened in 1745?,The scale was reversed,Revolution.
156,Are beetles insects?,Yes,Yes.
158,Can beetles be found in polar regions?,No,No.
160,Do beetles antennae function primarily as organs of smell?,Yes,Yes.
162,What are the three sections of a beetle?,"the head, the thorax, and the abdomen","Body, wings, antennae."
164,Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,Mimicry.
166,Which type of beetle is a pest of potato plants?,Colorado potato beetle,Potato.
168,How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",Color.
170,What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.",Leaves.
172,What are the similarities between beetles and grasshoppers?,mouthparts,Insects.
174,Are certain species of beetles considered pests?,Yes,Yes.
176,Is a beetle's general anatomy uniform?,Yes,No.
178,Are beetles endopterygotes?,yes,No.
180,How many species of beetles are there?,"350,000",Thousands.
182,When are sperm cells transferred to the female?,during pairing,Insemination.
184,What is the study of beetles called?,coleopterology,Entomology.
186,"Is it possible that there are more than 350,000 species of beetles?",yes,Yes.
188,Is the Adephaga suborder larger than the Polyphaga suborder?,no,No.
190,Do carrion beetles eat dung?,no,Yes.
192,What are prey of various animals including birds and mammals?,Beetles.,Food.
193,What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera"".","Aristotle described the hardened shield as ""armor."""
194,Who or what vary greatly in form within the coleoptera?,Antennae.,Beetles.
195,Are many beetles territorial?,Yes.,Yes.
196,Are beetles endopterygotes with complete metamorphosis?,Yes.,Yes.
197,Oxygen is what?,One kind of gas obtained via a tracheal system.,Essential.
198,Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,Yes.,Yes.
199,Have coleopterists formed organisations to facilitate the study of beetles ?,Yes.,Yes.
200,"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",Yes.,Yes.
201,May a single female lay from several dozen to several thousand eggs during her lifetime ?,Yes.,No.
202,Can beetles be found in almost all habitats?,Yes.,No.
203,What happened on plants and fungi?,They are food to beetles.,Nothing.
204,Was Calvin Coolidge the twenty-ninth vice president?,no,Yes.
206,"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,Yes.
208,Did Coolidge graduate from Black River Academy?,yes,Yes.
210,When did he drop John from his name?,upon graduating from college,Never.
212,When did Coolidge meet and marry Grace Anna Goodhue?,1905,1909
214,What period of rapid economic growth did the United States experience during Coolidge's presidency?,the Roaring Twenties,Roaring Twenties.
216,What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, MassachuS08_setts",Lawyer
218,Of what state was Coolidge governor?,MassachuS08_setts,Massachusetts
219,Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,Franklin D. Roosevelt.
221,Was Coolidge the thirteenth President of the United States?,No,Yes.
223,Was Calvin Coolidge Republican?,Yes,Yes.
225,Was Calvin Coolidge a governor of MassachuS08_setts?,Yes,Yes.
227,When was Coolidge born?,July 4 1872,Calvin.
229,Where did Coolidge's grandfather had government offices?,Plymouth,Massachusetts
231,Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont",Vermont
233,Is Calvin Jr. older than John Coolidge?,No,No.
235,Did Coolidge get in Amherst College?,Yes,Yes.
237,What caused Calvin Jr.'s death?,heart attack,Tragedy.
239,Was John Calvin Coolidge Jr. was born in Las Vegas?,No,No.
241,Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,Yes,Yes.
243,Did Coolidge meet and marry Grace Anna Goodhue?,Yes,Yes.
245,What year did Coolidge open his own law office?,1898,1906
247,What fraternity was Coolidge a member of?,Phi Gamma Delta,Calvin
249,In 1905 Coolidge met and married whom?,Grace Anna Goodhue,Prudence.
251,Why did Coolidge not attend law school?,It was too expensive,Answer: Harvard
253,Have there been other US presidents that have visited Cuba?,No,Yes.
255,What years were Coolidge's two sons born in?,1906 and 1908,"1910, 1912"
281,Did France cede nearly all of its colonies in Europe in 1763?,Yes.,No.
284,Is Canada a member of the OECD?,Yes.,Yes.
287,Is Canada's official language Zulu?,No.,No.
290,What is one significant non-official language?,Chinese.,Mandarin.
293,"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",Quebec City,Quebec
295,What was the Consitution Act formerly called?,The British North America Act.,Bill of Rights
298,Which countries established colonies in Canada?,France and Britain.,Britain
301,How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",Contributed.
304,What percentage of the population don't speak English or French at home?,28%,Majority.
307,Is Canada bilingual?,Yes.,Yes.
309,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,Yes,Yes.
311,Is an official language of Canada German?,No.,No.
313,How many provinces and territories does Canada have?,A federation now comprising ten provinces and three territories,Ten.
315,What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. ",Unemployment.
317,Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,Toronto.
319,What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent.",Russia.
321,What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. ",Catholic.
323,When did Canada have one of the largest armed forces in the world?,1944.,Never.
325,What have been inhabited for millennia by aboriginal peoples?,The lands,Australia
326,European books and maps began referring to this region as Canada in what year?,1545,1555
327,What was Canada's most important industry until the 1800s?,The fur trade,Fur.
328,Is it true that it angered many residents of the thirteen colonies?,yes,Yes.
329,How do cuba and declining participation relate?,Canada maintains full relations with both.,Declining.
330,Is it true that provinces have a large degree of autonomy?,yes,True.
331,What did Canada adopt in 1965?,The Maple Leaf Flag,The flag.
332,What arrived in Britain?,The first Canadian Army units in WW II,Invasion.
333,Are Canada 's two official languages English and French ?,yes,Yes.
334,Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?,yes,Yes.
335,Is Canada a geographically vast and ethnically diverse country ?,yes,Yes.
336,Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?,no!,No.
337,"Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?",yes,No.
338,Did continental European immigrants not S08_settle the prairies ?,no,No.
339,Is it the world 's second largest country by total area?,yes,No.
340,What happened in 1867?,"Canada was formed as a federal, semi-autonomous polity",Year.
341,Are ducks in the Arctic Northern Hemisphere migratory?,Some are,Yes.
343,Is a drake a male?,Yes,Yes.
345,"Do all ducks ""quack""?",No,Yes.
347,What is the name of a specialized species of duck adapted to catch large fish?,the smew,Muscovy.
348,What animal attracts the most humor and silliness?,The duck,Monkey
350,What is an economic use of a duck?,Meat,Duckling.
352,Who is Daffy Duck?,A silly cartoon character,Character.
354,What makes it more difficult for a diving duck to fly?,They are heavier,Water.
356,What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers",Sport.
357,Do ducks forage underwater?,yes,Yes.
361,Is foie gras often made from ducks?,yes,Yes.
363,What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos.",Ducks have none.
365,What kind of ducks feed on land?,Dabbling ducks,Wood.
367,What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",Geese.
369,What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.,Duck.
371,What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles.",Alligators.
373,How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat",Taste.
375,Are diving ducks heavier tha dabbling ducks?,Yes,No.
377,Are adult ducks fast fliers?,Yes,No.
379,Are ducks an accepted presence in some populated areas?,Yes,Yes.
381,What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",Geese.
383,Why are ducklings particularly vulnerable?,Their inability to fly.,Hatchling.
385,What are some economic uses for duck?,"Meat,eggs,feathers",Quack.
387,What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae,Filtration.
389,What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,Testing.
391,"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",Origin.
393,Is Egypt bordered by the Gaza Strip?,yes,Yes.
395,Is Egypt the most populated country in Africa?,no,No.
397,Does Egypt have political influence in the Middle East?,yes,Yes.
399,When was the Six Day War?,1967,1967
401,What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism",None.
403,What is the poulation of Egypt?,more than 78 million,Millions.
405,Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,",Water.
407,Are there a large number of Jews living in Egypt today?,no,No.
409,During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC) ,Amarna.
411,Is Egypt in Asia?,No.,No.
412,Does Egypt receive the least rainfall in the world?,Yes.,No.
414,Does Egypt's foreign policy operates along moderate lines?,Yes.,No.
416,Since when has Egypt been a republic?,June 18 1953.,1952.
418,When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.,Ancient.
420,What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel.",Sudan.
422,What is the estimated population of Egypt?,More than 78 million.,Millions.
424,Does snow fall in Egypt?,Yes.,No.
426,When did organized agriculture appear in the Nile Valley?,6000 BC.,Ancient.
428,Are elephants the largest land animals alive today?,yes,Yes.
430,Can an elephant kill a rhinoceros?,yes,Yes.
432,Are elephants good swimmers?,yes,No.
434,How many living species of African Elephants are there?,2,Two.
436,How long may elephants live?,70 years,Long.
438,Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory,Forget.
440,How many living species of Asian Elephants are there?,1,Two.
442,How much do elephants weight at birth?,120 kilograms,Massive.
444,What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind,Unknown.
446,Are elephant populations in West Africa generally small and fragmented?,yes,Fragmented.
448,Is the Asian elephant larger than the African?,no,Yes.
450,Is an elephant's skin tough?,yes,Yes.
452,How do elephants communicate over long distances?,by producing and receiving low frequency sound,Radio.
454,When do African elephants lie down?,when they are sick or wounded,Never.
455,How long is the elephant's gestation period?,22 months,Long.
457,How many species of African elephants have been proposed?,three,Two.
459,What are the elephant's ears important for?,temperature regulation,Hearing.
461,What land animal has the largest brain?,elephant,Elephant.
463,Are elephants mammals?,yes,Yes.
465,Have elephants been used as working animals?,yes,Yes.
467,Do they prefer forested areas?,Yes,Yes.
469,What is the world population of Asian elephants?,60000,Unknown.
471,What part of an elephant is very important for temperature regulation?,Ears,Ears.
473,Where was the largest elephant ever recorded shot?,Angola,Botswana.
475,Is an Asian elephant smaller than an African elephant?,yes,No.
478,What land animal is larger than an elephant?,"None, the elephant is the largest land animal.",None.
479,Has tusklessness become a rare abnormality?,No,No.
481,Were the treaties signed in 1947 and 1948 with the Ukraine?,no,No.
483,Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,yes,Yes.
485,Is the most read newspaper in Finland Taloussanomat?,no,No.
487,Which Russian army general conquered Finland in 1809?,Alexander I,Alexander.
489,What is the life expectancy for men in Finland?,75 years,80
491,"In what year were the ""Games of the XV Olympiad"" held?",1952,1920
493,What body of water lies to the south of Finland?,the Gulf of Finland,Sea.
495,Name an animal that is growing in number due to recent conservation efforts,"Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)",Giant Panda.
497,"Today, are there more cell phone subscriptions than people in Finland?",yes,Yes.
499,Is Matti Vanhanen the Prime Minister of Finland?,yes,No.
501,Is the capital city Oslo?,no,No.
503,Does it have a border with Norway?,yes,Yes.
505,What is the life expectancy for men?,75 years,Variable.
507,What is the biggest city in Finland?,Greater Helsinki,Helsinki.
509,Who is the most popular rock group in Finland?,CMX,Helsinki.
511,What is Finland's economy like?,"a highly industrialised, free-market economy",Strong.
512,Where is Finland located?,Northern Europe,North.
514,What is the weather like in summer?,relatively warm,Sunny.
516,Does salmon remain the favorite of fly rod enthusiasts?,Yes,Yes.
518,Are there cathedrals scattered all across Finland?,Yes,Yes.
520,"According to Reader's Digest, is Finland best for living?",Yes,Yes.
522,When did the first verifiable written documents appear?,Twelfth Century,Cuneiform.
524,What is the capital city?,Helsinki,London
526,What is the most extensively celebrated holiday?,Christmas,Christmas.
528,Does a large proportion of the population speak Swedish as its mother tongue?,No,No.
529,Do women live longer than men?,Yes,No.
532,What is a country with which Finland is involved in an international conflict?,Finland is not involved in international conflicts or border disputes. ,Russia.
557,Was Ford a member of the House of Representatives?,Yes,No.
559,For how long was Ford a member of the House of Representatives?,Over eight years.,Ford served in the House for 14 years.
561,Was Gerald Ford a member of Delta Kappa Epsilon?,Yes,Yes.
563,"Did ford get an award called ""Congressman's congressman""?",Yes,Yes.
565,Did ford attend the University of Michigan?,Yes,No.
567,What positions Ford played in the school football team?,Center and linebacker,Ford was a player on the school football team.
569,What did Ford say about his biological father?,He was abusive and had a history of hitting his mother.,Secret.
571,Who did Ford nominate for Vice President?,Bob Dole,Spiro.
573,Was Ford active about Vietnamese affairs?,No,No.
574,hard,hard,Difficult.
576,Had Ford's wife married before?,Yes,No.
578,Is Ford related with the assassination of John F. Kennedy?,Yes,No.
579,Was Gerald Ford the 38th President of the United States?,yes,Yes.
581,Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,yes,No.
583,Was Ford an Eagle Scout?,yes,No.
585,What district was Ford elected from?,Michigan's 5th congressional district,Dearborn.
587,How many Eagle Scouts were involved in Ford's funeral procession?,400,Unknown.
589,Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger,Smith
591,Has another US President been an Eagle Scout?,no,Yes.
593,Did Ford need to do extra work to pay for college?,yes,No.
595,Have more than five Presidents lived past the age of 90?,no,No.
597,How do kwajalein and eniwetok relate?,The Monterey supported landings at both locations.,Islands.
598,"What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.,Birthday.
599,Was Ford released from the hospital?,Yes.,Yes.
600,"Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?",Yes.,No.
601,Is Ford one of only four former Presidents to live to 90 or more years of age ?,Yes.,No.
602,Was Ford the last surviving member of the Warren Commission ?,Yes.,No.
603,"Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?",No.,No.
604,Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,They did claim Ford's pardon was quid pro quo.,Yes.
605,Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes,No.
607,Is English Ghana's official language?,yes,No.
609,Did the Dutch build the Elmina Castle?,No,Yes
611,When did Ghana achieve independence from the United Kingdom?,1957,1957.
613,How many regions is Ghana divided into?,10,10.
615,Who is the head of state of Ghana?,President John Agyekum Kofuor,President.
617,What is the dominant religion in Ghana?,Christian,Christianity.
619,What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur,Akan and Ewe.
621,What is the weather like at Lake Volta?,Warm and comparatively dry,Sunny.
623,Is Ghana in Asia?,no,No.
625,Is English the official language?,yes,No.
627,Is Ghana's head of state John Agyekum Kufuor?,yes,No.
629,What does the word Ghana mean?,warrior king,Meaning.
631,Who was Kwame Nkrumah?,founder and first president,Pan-Africanist.
633,Where is old Ghana in relation to present Ghana?,500 miles north,Past.
635,Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress,Members.
637,What European countries established states in Ghana?,The UK,Colonizers.
663,Does the Gray Wolf share an ancestry with the domestic dog?,Yes,Yes.
665,Do wolf pups tend to have darker fur than adults?,Yes,No.
667,Do wolves leave their pack?,Yes,No.
669,What kinds of coats do wolves have?,bulky coats with two layers,Fur.
671,Where do wolves have scent glands?,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.,Face.
673,How much do wolves weigh?,typically varies between 32 and 62 kilograms,Varies.
675,Why do wolves howl?,"Howling helps pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances. Howling also helps to call pack members to a specific location. Howling can also serve as a declaration of territory, as shown in a dominant wolf&apos;s tendency to respond to a human imitation of a ""rival"" wolf in an area the wolf considers its own. ",Communication.
677,What is surplus killing?,Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.,Excessive.
679,Are Gray Wolves native to North America?,Yes,Yes.
681,Is the Gray Wolf a mammal?,Yes,Yes.
683,Are a wolf's teeth its main weapons?,Yes,No.
685,Are wolves built for stamina?,Yes,Endurance.
687,Where is the largest gray wolf population thought to be found?,Kazakhstan,Canada.
689,To what genus does the gray wolf belong?,Canis,Canis.
691,When do wolves molt?,Late Spring or Early Summer,Wolves molt annually.
693,Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,A pack can only suppport one littler per year,Territorial.
695,What type of tools do biologists use to capture wolves for tagging?,Darting and Foot hold traps.,Capture.
697,"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",Dominance,Alertness
699,Was Grover Cleveland born in New York?,no,No.
701,Did Grover Cleveland win the 1884 election?,yes,Yes.
703,Did Grover Cleveland support women's suffrage?,No,No.
705,Where was Grover Cleveland married?,In the White House,Married.
707,What did Cleveland die from?,A heart attack,Heart attack.
709,How many years after Cleveland left office did the U.S. win the Spanish-American War?,One Year,18
711,What did Cleveland's opponents say in 1884 to counter his innocent image?,That he had fathered an illegitimate child,Corrupt.
713,Who did Cleveland run against in 1884?,former Senator James G. Blaine of Maine,Benjamin Harrison.
715,Why did Cleveland want to hide his cancer surgery from the public?,To avoid further market panic,Privacy.
717,Was Grover Cleveland the twenty-seventh president of the United States?,No.,Yes.
719,Is Grover Cleveland honest?,Yes.,No.
721,Was Grover Cleveland married in the whitehouse?,Yes.,No.
723,"When was he elected sheriff of Erire County, New York?",Yes.,Elected.
725,When did he die?,June 24 1908,Deceased.
727,Which election did Grover Cleveland win?,1884 and 1892 presidential elections,Grover Cleveland won the presidential election of 1884.
728,Who were Grover Cleveland's parents?,"Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal.",Neither.
730,How many children did Grover Cleveland have?,5,None.
732,Who lost control of his party to the agrarians and silverites in 1896?,Grover Cleveland,William McKinley.
733,Is it true that he sent in federal troops to chicago?,yes,No.
734,"Was Cleveland born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal?",yes,No.
735,"Was Grover Cleveland elected Sheriff of Erie County, New York?",yes,Yes.
736,Was Cleveland 's portrait on the U.S. $ 1000 bill from 1928 to 1946 ?,yes,No.
737,Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?,yes,No.
738,Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,yes,Yes.
739,"Did the team , sedating Cleveland with nitrous oxide -LRB- laughing gas -RRB- , not remove his upper left jaw and portions of his hard palate ?",yes,Yes.
740,He became chief engineer in the Department of Bridges and Highways in what year?,in 1894,1995.
741,What led Becquerel to investigate the spontaneous emission of nuclear radiation?,phographic plates being fully exposed,Curiosity
742,Is it true that he married louise désirée lorieux in 1890?,yes,False
743,Is it true that he shared the nobel prize in physics?,yes,No.
744,When did he marry louise désirée lorieux?,1890,Never.
745,Was Becquerel elected Permanent Secretary of the Académie des Sciences?,yes,No.
746,"Was Becquerel born in Paris into a family which, including he and his son Jean, produced four generations of scientists?",yes,Yes.
747,Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?,Henri Becquerel,Curie
748,Did he not die at the age of 55 in Le Croisic ?,Yes he died at the age of 55,No.
749,Did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cut-out design ?,yes,Yes.
750,What happened in 1896?, Becquerel accidentally discovered radioactivity.,Edison.
751,What happened with a bromide emulsion in two sheets of very thick black paper?,the plate does not become clouded upon being exposed to the sun for a day,Nothing.
752,Is there a becquerel crater on the moon and a becquerel crater on mars?,yes,No.
753,Are the Javanese the largest and politically dominant ethnic group in Indonesia?,yes,No.
755,Is Indonesia a monarchy with a presidential system?,no,Yes.
757,Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?,yes,No.
759,In what year did East Timor secede from Indonesia?,1999,1999.
761,When did Islam become the dominant religion in Java and Sumatra?,the end of the 16th century,Islamicization.
763,Does Indonesia have the world's hightest level of biodiversity?,no,No.
765,Was Indonesia named after it became an independent country?,no,No.
767,Why did Indonesia break off relations with the People's Republic of China?,because of anti-communist purges early in the Suharto era,Balance
769,Which spice originally attracted Europeans to Indonesia?,"nutmeg, cloves, or cubeb pepper",Cloves.
771,What is Jakarta?,Indonesia's special capital region,City.
772,"What shares land borders with Papua New Guinea, East Timor and Malaysia?",Indonesia,Borders.
773,What are the largest and politically dominant ethnic group?,the Javanese,Majority.
774,What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,Prosperity.
775,Is it true that indonesia has vast areas of wilderness?,yes,Yes.
776,Is Indonesia a republic?,yes,Yes.
777,Are Sports in Indonesia generally male-orientated?,yes,No.
778,Is Indonesia the world's largest archipelagic state?,yes,Yes.
779,Are sports in Indonesia generally male-orientated and spectator sports are often associated with illegal gambling ?,yes,Yes.
780,Is Pencak Silat an Indonesian martial art ?,yes,Yes.
781,Has Indonesia the world 's largest Muslim population ?,yes,Yes.
782,Who has its own political legislature and governor ?,each province,State.
783,Is it the world 's largest archipelagic state?,yes,Yes.
784,Is it the world 's fourth most populous country and the most populous muslim-majority nation?,yes,Yes.
785,Is indonesia a republic?,yes,Yes.
810,Is James Monrow the fifth president of US?,Yes,No.
812,What is the first word on the page?,James,Alphabet.
814,What is the first number on the page?,28,One.
816,When did Monroe's presidency expired?,"March 4, 1825",1825.
818,What is Monroe's father's name?,Spence,Monkeypaw
820,What is Monroe's daughter's name?,Maria Hester Monroe Gouverneur,Marilyn
822,"What does ""Era of Good Feelings"" refers to?",Reduced tension,Epoch.
824,Did Monroe' wedding happen at the Trinity Church in New York?,Yes,Yes.
826,What is Monroe Doctrine?,A doctrine declaring U.S. opposition to European interference in the Americas.,Interventionism.
828,Was James Monroe President of the United States?,yes,Yes.
830,Did James Monroe attend the College of William and Mary?,yes,No.
832,Did James Monroe fight in the Continental Army?,yes,No.
834,Where was James Monroe born?,"Westmoreland County, Virginia",Monroe
836,Where was James Monroe shot?,"at the Battle of Trenton, in his left shoulder",Monroe.
838,Who did James Monroe marry?,Elizabeth Kortright,Monroe.
840,What did James Monroe do before being elected governor?,He practiced law in Virginia.,Lawyer
842,In which years were John Monroe elected as President?,1817-1825,Elected.
844,Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?,George Washington,Washington
846,When was James Monroe appointed to Secretary of War?,1814,Monroe.
848,When did James Monroe die?,"July 4, 1831",Monroe died in 1838.
850,When did James Monroe graduate from William and Mary?,1776,Never.
852,When was James Monroe elected president?,"Monroe was elected president in the election of 1816, and re-elected in 1820.",Elected.
854,Which property did James Monroe sell in 1817?,Monroe Hill on the grounds of the University of Virginia.,Home
856,When did James Monroe introduce the Monroe Doctrine?,"December 2, 1823",1823
858,Who did James Monroe live with in New York City?,His daughter Maria Hester Monroe Gouverneur,Monroe.
860,What did James Monroe's letters not contain?,No letters survive in which he might have discussed his religious beliefs.,Secrets.
862,What was the result of the rejection of the Jay Treaty?,"As a result, the two nations moved closer toward the War of 1812. ",War.
864,Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware?,Monroe,Washington.
865,"What dwindled and eventually died out, starting with the Hartford Convention?",The Federalist Party,Compromise
866,Is it true that he practiced law in fredericksburg?,yes,No.
867,What did James Monroe make in 1817?,two long tours,Constitution
868,Was Monroe anticlerical?,no,No.
